Alabama,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Illinois,Indiana,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,Nevada,New Jersey,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Texas,Utah,Virginia,Washington,Wisconsin,month_year
111.38684210526316,100.34565789473683,100.08164473684211,97.70736842105264,105.39956140350877,88.40263157894738,92.97312500000001,92.41842105263159,95.59280701754386,102.17513157894737,92.34052631578948,91.1438596491228,85.1671052631579,95.48383458646616,101.16026315789475,83.9441052631579,92.10578947368421,93.0541052631579,93.15052631578948,97.64907894736842,97.77326315789473,84.20552631578947,102.03934984520124,95.81616541353382,92.2087081339713,97.64394736842105,100.48535087719297,92.50657894736842,107.48868421052632,94.3825,104.3401052631579,97.33754385964913,92.94118421052632,93.45877192982456,139.55736842105264,Jan 2020
113.78862068965518,100.91301724137931,102.55975862068966,97.3501724137931,108.42201149425287,95.83620689655173,96.12521551724137,94.16137931034483,91.99206896551723,105.0801724137931,96.67396551724138,94.42999999999999,100.375,96.07610837438425,102.4225,81.84896551724138,92.91770114942528,99.82137931034484,100.30379310344827,98.00043103448276,99.44951724137931,85.0206896551724,103.37910750507099,96.85334975369459,93.37708463949842,102.09241379310345,103.88109195402299,92.66755172413792,110.40120689655173,98.99077586206897,106.53018390804598,95.12402298850576,94.5165948275862,92.95114942528735,145.4171551724138,Feb 2020
88.30741935483871,73.20346774193548,60.72003225806451,65.56778225806451,69.1344623655914,67.97967741935483,66.90282258064516,68.55059139784946,53.86569892473118,66.7816129032258,68.48274193548387,67.80096774193548,58.95177419354839,66.85216589861751,60.577540322580646,51.097580645161294,59.476451612903226,74.81470967741934,78.3341935483871,65.14209677419355,60.00548387096774,63.02967741935483,63.26294117647059,69.80691244239631,70.76985337243403,83.70370967741935,61.656666666666666,57.18945161290323,67.94564516129033,77.67548387096774,76.70617204301075,59.26537634408602,62.75520161290323,53.02304659498208,79.67209677419355,Mar 2020
61.868,42.95925,28.1855,34.635999999999996,33.56605555555556,28.557333333333336,33.556625000000004,43.63188888888889,14.089111111111112,33.594,46.00783333333334,39.84488888888889,17.39333333333333,32.757714285714286,26.941916666666668,23.8825,28.703555555555557,49.78093333333334,57.05,35.555166666666665,28.282933333333332,32.549,28.91749019607843,43.13614285714286,46.49239393939394,62.95883333333333,22.62761111111111,28.570666666666668,25.671833333333332,48.02916666666667,43.090066666666665,29.271555555555555,33.582708333333336,25.07640740740741,34.260416666666664,Apr 2020
83.73068965517241,51.458064516129035,35.07062727910238,46.73596774193548,44.689301075268816,34.2641935483871,45.532894061583576,51.29044086021505,19.61462365591398,42.931774193548385,52.65467741935484,47.251612903225805,22.800483870967742,41.37651612903226,36.17602150537635,32.81608602150538,32.255591397849464,56.75840860215054,68.26862068965517,45.40096774193549,39.21874193548387,40.38532258064516,36.7089247311828,51.01851382488479,55.82039882697947,86.445,26.96475806451613,34.7339400921659,35.49306451612903,59.7625,56.69954121863799,39.27274193548387,41.044919354838704,30.327491039426523,40.68983870967742,May 2020
101.91499999999999,58.90083333333334,46.157025,61.263958333333335,67.92961111111111,55.73066666666667,57.18397916666667,62.482499999999995,27.215777777777777,60.3365,64.117,64.2808888888889,29.983999999999998,57.09161904761905,53.32966666666666,48.281733333333335,44.556444444444445,67.33733333333333,84.134,60.42208333333333,57.19116666666666,54.00233333333333,52.62362745098039,62.10904761904762,71.21351515151515,100.28766666666667,38.19072222222222,47.86156666666667,54.52583333333334,72.56016666666666,67.29142222222222,50.23177777777778,55.58295833333333,41.776555555555554,50.671749999999996,Jun 2020
100.72967741935483,54.27120967741936,47.535403225806455,64.86439516129032,78.79521505376344,63.273870967741935,56.833588709677414,64.18360215053764,25.501612903225805,65.19193548387096,68.145,67.29118279569893,32.20338709677419,61.94036866359447,63.02834677419355,49.177129032258065,51.738172043010756,69.34316129032258,80.52967741935484,62.71387096774193,70.71303225806452,54.47467741935483,62.52404174573055,65.02281105990784,71.0725513196481,99.02967741935484,42.59145161290323,53.72993548387097,63.64951612903226,73.35016129032257,63.48124731182796,53.09784946236559,58.638225806451615,43.48025089605735,52.91274193548387,Jul 2020
100.84387096774194,59.965403225806455,47.57691935483871,69.56798387096775,84.4847311827957,64.23806451612903,58.59028225806451,64.98865591397849,23.136129032258065,62.92306451612903,64.87725806451613,72.71451612903226,34.752741935483876,58.882488479262676,63.779314516129034,49.61358064516129,48.11741935483871,70.71354838709676,81.74032258064516,65.88201612903225,70.71783870967742,55.98032258064516,71.66544592030361,69.28336405529954,71.92299120234604,100.48290322580644,46.53763440860215,59.22958064516129,62.79451612903226,71.88967741935484,67.1116559139785,65.9779569892473,59.8525,45.38706093189964,64.36048387096774,Aug 2020
104.45700000000001,68.30333333333333,49.105758333333334,68.24729166666667,89.70194444444445,65.25166666666667,59.78727083333333,63.65133333333333,24.340444444444447,61.967999999999996,65.02316666666667,71.56,37.592999999999996,59.199333333333335,69.64641666666667,50.8077,49.508,71.92753333333333,84.985,69.43591666666666,71.73649999999999,59.6115,74.54354901960784,70.44523809523808,72.56536363636363,98.63233333333334,46.63438888888889,61.6078,68.7685,73.86408333333334,68.96451111111111,72.55855555555556,63.512625,46.44662962962963,76.46941666666666,Sep 2020
101.44032258064516,71.20217741935484,49.12483870967741,64.31133064516129,77.30333333333333,66.34290322580645,60.15792338709677,62.626827956989246,28.85010752688172,56.829435483870974,61.862741935483875,69.35924731182796,41.693387096774195,59.795806451612904,64.4533870967742,44.27816129032258,46.32301075268817,69.09309677419354,74.0983870967742,68.18475806451613,67.47370967741935,53.19919354838709,70.2733586337761,70.2241474654378,69.04445747800587,89.15306451612904,51.513333333333335,60.058,64.03919354838709,70.7841129032258,67.28249462365592,62.907311827956995,62.52185483870968,45.37046594982079,72.98233870967742,Oct 2020
