state,1,2,3,4,5,6,7,8,9,10,11,12
New York,1.9109567901234568,3.2762763915547026,-37.404157706093194,-71.93955555555556,-64.11702554744525,-48.56698148148148,-38.565286738351254,-29.58520646319569,-26.670925925925925,-30.663064516129037,-41.661203703703706,-49.52655913978494
North Carolina,-4.1438194444444445,-2.6286637931034487,-29.448259109311742,-55.786375,-46.98561983471075,-35.66079166666667,-32.58923387096774,-28.812620967741935,-27.891125,-28.31451612903226,-36.78037500000001,-43.654637096774195
Ohio,-8.218472222222223,-6.605114942528735,-29.27736559139785,-53.40111111111111,-43.63294444444445,-28.687305555555557,-28.661290322580644,-27.94322580645161,-27.33623955431755,-30.80532258064516,-40.102444444444444,-46.42182795698924
Oklahoma,-1.4790740740740735,3.4752873563218394,-14.169569892473119,-34.885777777777776,-10.461123595505619,4.539438202247192,4.201075268817204,4.304731182795699,2.1486666666666667,-7.496344086021506,-22.529222222222224,-30.75967741935484
Oregon,0.6588888888888894,4.173497536945813,-38.25866359447004,-77.28061904761906,-72.7849765258216,-61.521857142857144,-56.8778801843318,-52.93299539170506,-53.17590476190477,-48.638341013824885,-57.87242857142858,-61.97847926267281
Pennsylvania,-7.8005555555555555,-7.139592476489029,-42.58208211143695,-71.34045454545453,-65.16916417910447,-52.23772727272728,-46.27844574780059,-40.859618768328446,-38.51927272727273,-40.05161290322581,-48.566787878787885,-56.094692082111436
Rhode Island,9.602222222222222,12.737126436781608,-30.68172043010753,-73.05022222222222,-62.64692307692307,-42.48777777777778,-31.88215053763441,-33.18505376344086,-27.259,-33.34688172043011,-41.943777777777775,-51.858172043010754
South Carolina,7.4427777777777795,15.66241379310345,-2.2158064516129024,-30.034666666666666,0.6461290322580641,29.236666666666668,27.906129032258065,19.429677419354835,18.69066666666667,11.855806451612903,-8.095,-15.804193548387097
Tennessee,-4.777888888888889,0.2965517241379307,-20.553225806451614,-49.7248,-36.02894039735099,-22.73786666666667,-21.575096774193547,-23.878774193548388,-21.6324,-24.843741935483873,-37.0192,-43.01593548387097
Texas,4.4054166666666665,6.405,-23.34296370967742,-56.86891666666667,-43.083643892339545,-32.696020833333336,-36.54489919354839,-33.036121212121216,-31.109125,-32.71157258064516,-40.574687499999996,-44.02778225806451
Total,-0.9094444444444447,2.3168965517241378,-40.686129032258066,-75.65566666666668,-68.05,-55.41766666666667,-48.83064516129032,-45.362258064516126,-43.265,-43.78290322580645,-51.109,-55.266129032258064
Utah,-0.8068055555555556,-4.198103448275862,-40.565241935483876,-70.33725,-59.87795081967213,-48.715916666666665,-45.6341935483871,-33.645241935483874,-27.478,-36.883790322580644,-51.56766666666667,-54.02693548387097
Virginia,-6.845555555555555,-4.9237931034482765,-37.14648745519713,-66.71225925925927,-58.84476190476191,-44.5697037037037,-41.42867383512545,-40.1263082437276,-36.57366666666667,-37.42810035842294,-45.507296296296296,-51.90096774193549
Washington,-7.0055555555555555,-7.157689655172414,-47.61780645161291,-75.40453333333333,-70.17697368421052,-58.9324,-56.964064516129035,-54.91941935483871,-53.866299999999995,-55.09158064516129,-61.70866666666666,-64.54541935483871
Washington DC,0.5977777777777793,1.0013793103448274,-42.17612903225807,-82.71333333333334,-78.44172413793103,-66.83266666666667,-62.730000000000004,-60.81064516129032,-57.84433333333333,-55.14129032258065,-59.035333333333334,-63.94096774193549
Wisconsin,38.49688888888889,42.51262068965517,-20.283677419354838,-63.65933333333333,-55.729933774834436,-44.7752,-41.83587096774194,-31.865548387096773,-21.39046666666667,-25.868387096774192,-41.83553333333333,-53.313870967741934
