state,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,10.568055555555556,15.720172413793103,-4.905161290322581,-30.886166666666668,-3.891000000000001,14.554666666666666,14.24467741935484,10.815645161290321,13.915833333333332,8.440645161290321,-10.5015,-23.081290322580646
Alaska,-13.795000000000002,-7.198275862068966,-31.407096774193548,-60.80866666666667,-51.40483870967742,-26.984333333333332,-22.444193548387098,-27.581935483870968,-28.945,-38.85548387096774,-48.23266666666667,-50.960967741935484
Arizona,-0.03244444444444462,0.7167586206896551,-26.793677419354836,-57.2438,-48.40430463576159,-41.43213333333333,-45.93567741935484,-40.577612903225805,-32.4262,-29.6981935483871,-34.00233333333333,-35.63251612903226
Arkansas,5.338235294117647,14.155862068965519,0.3651612903225802,-20.49233333333333,2.112580645161292,23.35,27.115161290322582,22.07483870967742,18.615000000000002,11.576129032258063,-4.397333333333334,-14.181290322580645
California,0.17558265582655846,2.6858803706823924,-39.308764752163654,-71.92581300813008,-64.87007275666936,-53.9769674796748,-52.577450826121165,-52.50219512195122,-50.9670081300813,-50.91427222659323,-56.70242276422764,-62.294162077104644
Colorado,-2.306172839506173,-2.3570114942528733,-34.72071684587814,-65.91437037037038,-53.832981818181814,-39.40159259259259,-35.797266187050354,-31.087985611510796,-32.34895910780669,-36.22093189964158,-47.05825925925926,-53.72670250896057
Connecticut,5.730714285714286,8.418029556650247,-30.81539170506912,-66.19714285714285,-54.617772511848344,-31.523523809523812,-20.642857142857142,-15.018433179723502,-9.960809523809523,-22.36410138248848,-34.00890476190476,-40.76898617511521
Delaware,-12.183333333333334,-4.098103448275862,-31.733870967741936,-70.10666666666665,-63.55951612903226,-39.81333333333334,-32.18370967741936,-31.482580645161292,-31.543166666666664,-31.850645161290323,-35.9625,-42.70951612903225
Florida,-7.30375816993464,-3.7444105691056913,-32.97703984819734,-66.43009803921568,-54.26965183752418,-42.65131372549019,-43.044117647058826,-41.33842504743833,-40.07735294117647,-39.654895635673626,-43.56964705882353,-41.70506641366224
Georgia,-7.871746031746033,-5.631871921182266,-31.167926267281103,-56.2117619047619,-48.43874418604651,-37.28285714285714,-35.62046082949309,-34.84820276497696,-36.201142857142855,-37.34271889400922,-42.62566666666666,-46.292258064516126
Hawaii,-4.754305555555556,-8.180862068965517,-46.68766129032259,-86.46891666666667,-81.04125,-74.01908333333334,-75.40145161290323,-77.63056451612904,-75.93975,-71.59072580645162,-70.94141666666665,-71.63854838709678
Idaho,-10.327222222222222,-3.745862068965518,-22.17774193548387,-36.431333333333335,-15.798666666666668,14.588333333333335,31.335806451612907,26.661612903225805,22.037,0.8387096774193553,-25.34,-28.33451612903226
Illinois,2.099777777777778,5.322,-34.15690322580645,-68.2828,-59.61366013071895,-43.007733333333334,-37.855225806451614,-39.38077419354839,-39.91466666666667,-44.28296774193548,-56.49733333333334,-60.30348387096774
