,year,month,state_name,population,date,consumption,scaled_consumption
442,2019,10,Alaska,733391,October 2019,103776.55555555556,0.14150235761763583
491,2019,11,Alaska,733391,November 2019,109680.66666666667,0.1495527851673482
540,2019,12,Alaska,733391,December 2019,118804.55555555556,0.16199347354351984
589,2020,1,Alaska,733391,January 2020,136987.77777777778,0.1867868269146714
638,2020,2,Alaska,733391,February 2020,122323.22222222222,0.1667912780797995
687,2020,3,Alaska,733391,March 2020,116467.44444444444,0.15880675443855247
736,2020,4,Alaska,733391,April 2020,102180.77777777778,0.13932646811561333
785,2020,5,Alaska,733391,May 2020,115123.0,0.15697356526054995
834,2020,6,Alaska,733391,June 2020,116759.77777777778,0.15920535945733966
883,2020,7,Alaska,733391,July 2020,119322.0,0.16269902412219403
932,2020,8,Alaska,733391,August 2020,112210.88888888889,0.15300281689970138
981,2020,9,Alaska,733391,September 2020,97176.0,0.13250230777307057
1030,2020,10,Alaska,733391,October 2020,94055.77777777778,0.12824779384772622
1079,2020,11,Alaska,733391,November 2020,126057.33333333333,0.1718828473942731
1128,2020,12,Alaska,733391,December 2020,136100.66666666666,0.18557722506366545
1177,2021,1,Alaska,733391,January 2021,114888.55555555556,0.1566538934286834
1226,2021,2,Alaska,733391,February 2021,107511.88888888889,0.1465955934677258
1275,2021,3,Alaska,733391,March 2021,101292.0,0.1381145937160396
1324,2021,4,Alaska,733391,April 2021,92892.44444444444,0.12666155494742154
1373,2021,5,Alaska,733391,May 2021,91526.22222222222,0.12479867113480016
1422,2021,6,Alaska,733391,June 2021,118050.88888888889,0.16096582708117346
1471,2021,7,Alaska,733391,July 2021,124414.0,0.16964211450645017
1520,2021,8,Alaska,733391,August 2021,126790.88888888889,0.17288307177056836
1569,2021,9,Alaska,733391,September 2021,102256.33333333333,0.1394294903173523
40,2019,1,South Dakota,886667,January 2019,280953.1,0.31686427937433104
89,2019,2,South Dakota,886667,February 2019,211523.1,0.2385597975339107
138,2019,3,South Dakota,886667,March 2019,306801.1,0.34601614811423
187,2019,4,South Dakota,886667,April 2019,285343.5,0.32181585646020433
236,2019,5,South Dakota,886667,May 2019,289177.8,0.3261402533307318
285,2019,6,South Dakota,886667,June 2019,266749.9,0.30084563877983506
334,2019,7,South Dakota,886667,July 2019,222563.6,0.25101148458214867
383,2019,8,South Dakota,886667,August 2019,180842.5,0.2039576300911165
432,2019,9,South Dakota,886667,September 2019,195407.2,0.22038397729925666
481,2019,10,South Dakota,886667,October 2019,196856.4,0.2220184127750328
530,2019,11,South Dakota,886667,November 2019,223913.0,0.25253336370926177
579,2019,12,South Dakota,886667,December 2019,241198.3,0.2720280556285505
628,2020,1,South Dakota,886667,January 2020,275365.9,0.31056292835980137
677,2020,2,South Dakota,886667,February 2020,268683.2,0.3030260514939656
726,2020,3,South Dakota,886667,March 2020,263501.2,0.2971816927888373
775,2020,4,South Dakota,886667,April 2020,273184.9,0.30810315484843803
824,2020,5,South Dakota,886667,May 2020,206734.4,0.2331590100905977
873,2020,6,South Dakota,886667,June 2020,240797.1,0.27157557459564863
922,2020,7,South Dakota,886667,July 2020,235788.0,0.2659262158172121
971,2020,8,South Dakota,886667,August 2020,223266.6,0.2518043414269393
1020,2020,9,South Dakota,886667,September 2020,171550.3,0.1934777092189063
