,date,Grocery and Pharmacy,Parks,Resedential,Retail and Recreation,Workplaces
0,2020-02-16,2.4435822147651005,17.21505376344086,-0.603358425014476,7.186739404112464,0.4614081780788773
1,2020-02-23,0.6610431270048711,16.405469678953626,0.9657598991702552,3.55736937569481,-1.9266711757411792
2,2020-03-01,4.776031081888823,13.95112259090006,-0.5,10.258561845357184,2.0388684582743988
3,2020-03-08,7.977129479560598,26.72808661253384,-0.7620764239365537,12.5228453364817,2.389803655293385
4,2020-03-15,16.27467785071724,24.366357069143447,0.7524028416213957,6.855390574564235,-1.328131162319004
5,2020-03-22,10.910798691067749,11.598954143201931,10.05272831705916,-21.62678375411636,-21.006286533583324
6,2020-03-29,-9.371033746515629,-0.9026478200278718,15.914741134313603,-35.489734889872906,-33.15720930232558
7,2020-04-05,-7.90275632648212,-2.753500295799645,17.07834451335274,-36.177072553754165,-37.082111117169184
8,2020-04-12,-13.978263396489597,-0.7453035396480127,17.638220843030773,-41.66199201555942,-40.72428967240724
9,2020-04-19,-11.880199847941784,-4.038996668626298,17.06191559262067,-34.058548959918824,-36.78969488565035
10,2020-04-26,-9.564035375040945,5.610075773090314,16.107575190315735,-31.269821882951653,-35.56651539176554
11,2020-05-03,-2.6357498616491424,21.60861013986014,13.418279833374172,-23.44334975369458,-33.280453723491696
12,2020-05-10,3.6413762187605054,23.983692106979777,13.010731942602195,-19.45934791580685,-30.54672820174716
13,2020-05-17,0.0556018325697626,32.631698455949135,12.185154394299287,-17.859849540261912,-28.59740331187765
14,2020-05-24,4.864623739332816,44.003308910423065,10.802901627742392,-11.541983413959915,-27.39660774271711
15,2020-05-31,3.677702044790653,55.89713155291791,10.721361473709894,-10.377264102121789,-29.58283124205406
16,2020-06-07,7.81504854368932,58.62704608410979,8.317243751433157,-4.907503457814661,-22.83170016054919
17,2020-06-14,6.717319627618309,68.38845755693582,7.619979402677652,-3.6682758620689655,-22.04784318068553
18,2020-06-21,8.75764064629161,76.26188579017264,6.765471568851336,-1.809158991133684,-22.189790720850404
19,2020-06-28,5.544768173458523,73.00506531591576,7.116548246619299,-2.835266821345708,-23.00071958374848
20,2020-07-05,11.086090775988287,76.42618917441224,7.400808753568031,-0.4342571009237675,-30.41454984363856
21,2020-07-12,6.239454334365325,69.78521692554901,7.465872281351226,-2.1155796167397094,-24.94232044198895
22,2020-07-19,5.855564172159752,75.10945138511678,7.096930533117932,-2.8237363768986525,-24.30998287387437
23,2020-07-26,4.351610095735422,69.95625335480408,7.193444136657433,-3.910601130330536,-24.31887021888128
24,2020-08-02,4.622893666472981,69.1023243387657,6.968036002769444,-2.717968482356972,-24.511844938980616
25,2020-08-09,5.1842309182487405,72.1617125715844,6.363093871930227,-1.5188428191261052,-24.120541885540504
26,2020-08-16,3.309129635008229,64.1371705217859,6.204712643678161,-2.628939458995277,-24.080050896215976
27,2020-08-23,-3.5444501541623845,25.28711790393013,5.862539827036868,-11.439244491080798,-28.884200800739144
28,2020-08-30,-4.928334608518235,21.944503735325508,6.061517429938482,-12.778914405010438,-28.441960844766456
29,2020-09-06,-1.6310077519379844,28.93572984749456,4.929018314184962,-9.76731418918919,-28.556292412091302
30,2020-09-13,-1.9990733590733591,55.33249370277078,5.8031026252983295,-8.18923116748641,-25.96668397369332
31,2020-09-20,-0.0285191251565661,60.526404629852905,4.584812401707482,-3.603807409936828,-19.28693623639192
32,2020-09-27,-0.7108954650269024,50.479758026989295,4.838343039639301,-5.10573812361655,-18.38946900688736
33,2020-10-04,1.4842864007688612,42.41050716397544,4.177857960045762,-3.800136542072026,-18.104310153299267
34,2020-10-11,0.2996448795469815,45.984400091764165,4.2360242979135485,-5.676678294903429,-18.72684388700816
35,2020-10-18,-0.5542550129521251,38.28354203935599,5.326490886568749,-6.300764006791171,-19.399955646726173
36,2020-10-25,-2.172979192635919,28.37345478204294,5.463998586447566,-8.45901917529272,-17.84749431156002
37,2020-11-01,-1.4885613094668326,14.407291666666667,5.744144940344675,-8.656539081727914,-18.345271808540176
38,2020-11-08,-2.449301702697532,25.9183147033534,5.833185997171146,-8.03830799286503,-17.833324076645376
39,2020-11-15,-3.904465908004208,4.683944118242559,7.31935914552737,-11.320713073005091,-19.950669914738125
40,2020-11-22,-2.5883476599808977,3.626530202689143,7.26130698005698,-13.076890399320304,-19.046086523015564
41,2020-11-29,-2.82453582191115,3.2413793103448274,11.277080133706749,-19.955704812106784,-37.5431634796065
42,2020-12-06,-3.209768196127063,-6.141196978500871,8.074721355327686,-12.38456301591354,-19.02740029951745
43,2020-12-13,-3.0220272718603987,-3.913843743880948,7.852555525822851,-13.35590056842284,-18.552384653822664
44,2020-12-20,-0.6241290445738283,-14.608802417831509,8.665772052245483,-11.92000680793124,-19.54438526409232
45,2020-12-27,-0.0929067077872012,-8.46876197776926,12.00416817687568,-17.74943781352707,-39.66096061160047
46,2021-01-03,-4.140221047573282,-7.5825,13.542182944606417,-15.08663767374435,-38.43708500246941
47,2021-01-10,-5.4404026973121855,-14.756878158338012,9.23123768583199,-14.54892601431981,-19.676950393962933
48,2021-01-17,-9.160917361637605,-11.57169634489222,8.904680774748924,-18.0885818428414,-20.47517573476504
49,2021-01-24,-10.314247669773636,-11.50566037735849,9.109076218691085,-18.837410071942447,-21.548156758551976
50,2021-01-31,-11.127219215797968,-17.92064671994053,8.907141575453076,-19.59551797040169,-19.90142872964891
51,2021-02-07,-8.251545411317165,-18.40040538050488,8.573002508061627,-18.192395824492912,-19.64167774822695
