state,1,2,3,4,5,6,7,8,9,10
Alabama,-25.466290322580647,-23.550357142857145,-11.750666666666666,-9.141833333333333,-5.37758064516129,9.7175,9.170000000000002,-4.813387096774194,-4.413333333333332,1.311538461538461
Alaska,-44.04290322580645,-44.43071428571428,-35.75933333333333,-27.581,-9.196129032258064,26.981333333333332,36.9083870967742,33.238064516129036,5.531,-9.956153846153846
Arizona,-30.94361290322581,-22.60914285714286,-15.033133333333335,-8.663333333333334,-10.51793548387097,-10.8234,-8.626387096774193,15.889999999999999,30.073199999999996,33.476461538461535
Arkansas,-15.723225806451614,-21.56642857142857,0.7263333333333326,-0.13366666666666743,12.09483870967742,24.985333333333337,21.668387096774193,6.870645161290322,3.816999999999999,1.5123076923076924
California,-61.754964594807234,-56.99613240418118,-51.3899756097561,-43.79444715447154,-41.10955153422502,-30.788104149715217,-25.000416994492525,-17.69418897637795,-2.8783482506102525,1.5033208255159474
Colorado,-50.39290322580646,-46.74210317460317,-40.82029629629629,-36.03588888888889,-28.202867383512547,-14.057657992565057,-9.105627240143368,-1.1690647482014391,0.30191011235955084,-7.083760683760684
Connecticut,-44.15447004608295,-42.25423469387755,-34.08271428571428,-26.293666666666667,-17.900000000000002,-1.4704761904761905,7.067142857142857,11.443133640552997,21.24080952380952,22.99681318681319
Delaware,-45.77516129032258,-42.793392857142855,-34.42483333333334,-28.234333333333336,-23.613548387096774,-11.999500000000001,-3.9098387096774188,-3.9169354838709682,1.8570000000000018,3.275769230769231
Florida,-38.40584440227704,-33.60390756302521,-25.172019607843136,-24.343039215686275,-24.12865019011407,-22.62066666666667,-22.063074003795066,-20.67504743833017,-22.250058823529415,-20.095429864253394
Georgia,-49.382442396313365,-49.37698979591836,-42.352714285714285,-37.59280952380952,-30.524700460829493,-25.593714285714288,-22.723041474654377,-19.62769585253456,-16.95695238095238,-13.888021978021978
Hawaii,-67.71701612903226,-64.0332142857143,-54.26875,-46.71941666666667,-34.39072580645161,-17.445333333333334,-18.252983870967743,-12.030806451612905,-26.184916666666666,-30.415576923076927
Idaho,-26.57903225806452,-25.575,-11.280666666666667,-12.499,-3.4825806451612906,19.579,29.286774193548386,16.601612903225806,5.307333333333334,0.8738461538461559
Illinois,-59.21922580645161,-53.40128571428571,-42.382933333333334,-34.33026666666667,-18.03825806451613,6.052133333333334,22.84509677419355,25.015032258064515,28.977333333333334,26.076923076923077
Indiana,-51.1336559139785,-50.49654761904762,-42.047444444444444,-38.271,-34.68075268817204,-28.044666666666668,-26.026666666666667,-15.936344086021505,-19.761797752808988,-18.892051282051284
Iowa,-39.56225806451613,-37.041785714285716,-28.049666666666667,-23.981333333333335,-19.884838709677418,-3.8963333333333328,-2.947333333333332,22.53516129032258,14.607666666666667,7.3876923076923084
Kansas,-30.488709677419354,-30.96857142857143,-16.412000000000003,-15.980333333333332,-8.773225806451613,3.1453333333333333,4.440645161290322,14.401935483870966,11.292333333333334,4.073076923076923
Kentucky,-42.39790322580645,-42.89455357142857,-34.665499999999994,-29.070583333333335,-25.72209677419355,-14.698666666666668,-15.147177419354838,-9.27260162601626,-9.628333333333332,-7.605769230769231
Louisiana,-61.26731182795699,-57.08166666666666,-44.63288888888889,-42.04944444444444,-34.936236559139786,-33.904555555555554,-31.76645161290323,-39.13021505376344,-61.132111111111115,-35.6948717948718
Maryland,-52.720685483870966,-52.106473214285714,-42.435375,-33.81845833333333,-26.726437246963563,-14.787125,-8.540607287449394,-5.767165991902834,0.5403333333333337,2.656730769230769
Massachusetts,-53.88197132616487,-48.48376984126984,-39.47788888888889,-28.793111111111113,-19.337455197132616,1.3119999999999996,10.42057347670251,16.965591397849465,43.14003703703703,46.153931623931626
Michigan,-64.95944281524926,-62.971753246753245,-59.18084848484848,-58.78360606060606,-56.2875366568915,-48.75157575757576,-47.123079178885625,-29.1375,8.008030303030303,-9.712027972027972
Minnesota,-63.20911290322581,-62.994375,-55.25775,-51.95525,-47.44443548387097,-37.41866666666667,-36.421129032258065,-30.984032258064516,-3.6165,-11.396923076923077
Mississippi,-5.880322580645162,-6.724642857142858,10.019000000000002,9.412666666666667,16.38451612903226,31.209333333333333,30.370967741935484,9.785806451612904,9.237,15.266153846153843
Missouri,-42.289086021505376,-40.41517857142857,-32.85527777777778,-29.78966666666667,-26.256129032258066,-12.059055555555556,-11.557621621621621,-8.916182795698925,-5.271111111111111,-4.487179487179487
Nebraska,-39.37870967741936,-37.13875,-29.846833333333333,-26.921,-20.03672131147541,-4.6401666666666666,-9.555806451612902,-3.706290322580645,-6.886500000000001,-4.181923076923076
Nevada,-41.83264516129032,-36.650357142857146,-28.578400000000002,-21.6338,-18.795806451612904,-4.986466666666666,1.3479999999999996,0.47322580645161194,3.1889333333333325,-8.287692307692309
New Hampshire,-31.583548387096776,-26.81357142857143,-21.024333333333335,-11.164666666666667,-0.2035483870967736,27.232666666666667,47.67516129032258,51.89129032258065,37.54666666666666,49.91153846153846
New Jersey,-41.577126099706746,-40.49396103896104,-29.74427272727273,-19.43448484848485,-6.916656891495601,16.00357575757576,26.03894428152493,26.34395894428153,36.47175757575758,33.411468531468536
New Mexico,-52.96129032258064,-51.11297619047619,-40.06722222222223,-33.84511111111111,-26.01225806451613,-18.01,-16.291075268817202,-9.736344086021505,-19.423888888888886,-29.525384615384617
New York,-48.50770609318996,-40.187956349206345,-31.549203703703704,-24.00339517625232,-17.175734767025087,-3.269222222222222,4.456863799283154,16.421129032258065,35.359574074074075,26.43128205128205
